date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25
2021-06-10,45838.171,37852.291,6090.65145896972,0.0,34089.689,,,Mumbai,19.43872713697163,0.5788591590734568
2021-06-11,45146.65,36747.242,6123.143046456842,374.133,33753.137,,,Mumbai,19.664154607870202,0.5834047298116072
2021-06-12,45149.18,36727.475,5606.63024718075,1077.447,33853.579,,,Mumbai,18.380559482102925,0.5376752414830916
2021-06-13,43637.832,34816.459,4925.506810488516,2380.056,33411.393,,,Mumbai,15.817634411508369,0.47298072326861984
2021-06-14,48875.459,37986.851,6303.626706770807,2610.951,33810.454,,,Mumbai,20.319383054934363,0.6027629747164098
2021-06-15,48693.831000000006,38073.538,6341.165479688733,2291.355,33853.74,,,Mumbai,20.747640642017117,0.6087930574376863
2021-06-16,47346.577000000005,39043.807,6328.297705511735,0.0,33982.448,,,Mumbai,20.688233135011565,0.6066168897851896
2021-06-17,48414.816,39119.075,6346.03650461964,970.152,33978.302,,,Mumbai,20.72082096209875,0.6087814175271512
2021-06-18,50088.514,39309.995,6336.447917937125,2466.425,33991.353,,,Mumbai,20.717949865641806,0.609285340514417
2021-06-19,47412.411,37544.71,5813.536005368844,2243.781,33913.198,,,Mumbai,19.44183055770693,0.5644500003495151
2021-06-20,44362.148,35523.076,4997.915491014926,2299.8,33673.411,,,Mumbai,16.283228322609595,0.481971049843682
2021-06-21,50057.459,38587.701,6243.093647164241,3276.939,33822.544,,,Mumbai,20.222426152456514,0.597418972937371
2021-06-22,50832.659,40195.392,6283.912730401795,2392.647,34008.528,,,Mumbai,20.47513003752311,0.602008251759091
2021-06-23,53160.713,42341.159,6307.2490260996165,2538.534,34689.119,,,Mumbai,20.641368072054565,0.6067463999157474
2021-06-24,48926.575,40711.91,6261.396421456881,0.0,34488.056,,,Mumbai,20.41771879867595,0.6010399754791718
2021-06-25,48909.099,40556.011,6360.109517443532,0.0,34424.897,,,Mumbai,20.975971434510715,0.6127572075599103
2021-06-26,48962.862,39336.449,5735.245883372607,2114.563,34224.808,,,Mumbai,19.063360385773727,0.5548411210888085
2021-06-27,46924.406,40347.753,5028.0636998269,0.0,34328.06,,,Mumbai,16.444249460851022,0.485695653988986
2021-06-28,53726.349,43292.377,6220.470475630431,2267.318,34662.371,,,Mumbai,20.362081759407314,0.5985593258353715
2021-06-29,55576.71,44771.086,6409.189684063291,2399.405,34769.871,,,Mumbai,20.952473085272118,0.615840131342176
2021-06-30,54833.484,43810.485,6536.88270006464,2433.406,34485.461,,,Mumbai,21.4392122151891,0.629526096776831
2021-07-01,52562.6,42190.533,5978.673742834514,2519.257,34197.22,,,Mumbai,19.56981052483554,0.5772812253270795
2021-07-02,50548.25200000001,40713.711,6015.8611584026985,1933.548,33970.956,,,Mumbai,19.625672677909225,0.5798995096369033
2021-07-03,50824.999,40805.467,5645.049881308583,2616.203,34005.105,,,Mumbai,18.305002550509876,0.5424014687519665
2021-07-04,50372.673,41208.023,4919.376268578744,2724.945,34223.081,,,Mumbai,15.353948056109754,0.4685273435105851
2021-07-05,53895.423,43762.971,5956.336683529532,2312.793,34410.523,,,Mumbai,18.99479140202044,0.567531714799306
2021-07-06,52931.867,44758.493,6225.646730195369,0.0,34414.178,,,Mumbai,19.449604164802874,0.5862484217887887
2021-07-07,68559.76299999999,44529.458,6260.238356886544,15809.613,34497.212,,,Mumbai,19.593376557302555,0.5902938546497909
2021-07-08,51886.327,43646.286,6274.927217113825,0.0,34525.614,,,Mumbai,19.693414825957106,0.5915672640155423
2021-07-09,51325.565,43129.079,6241.6800213035,0.0,34048.356,,,Mumbai,19.557087039684255,0.5888022959714827
2021-07-10,53265.732,44069.452,5664.199294209582,1773.121,34824.04,,,Mumbai,17.913796208337963,0.5362811359529565
2021-07-11,47369.96,40902.638,4941.28838170928,0.0,34506.632,,,Mumbai,15.215203837839923,0.4662556982462177
2021-07-12,51061.59,40337.459,6206.193425858479,2578.706,34568.536,,,Mumbai,19.117748608564433,0.5806071274076958
2021-07-13,47949.139,39794.542,6214.210737177714,0.0,34456.05,,,Mumbai,19.203678328950247,0.580825657736762
2021-07-14,47498.4,39277.78,6259.857526449866,0.0,34127.536,,,Mumbai,19.50644027662056,0.5871226974700072
2021-07-15,50599.107,40044.205,6227.669960083851,2385.503,34129.874,,,Mumbai,19.41400010032877,0.5849439608735194
2021-07-16,52433.417,41902.341,6130.293675847795,2496.447,34193.806,,,Mumbai,18.96643530909627,0.5717533348345836
2021-07-17,51412.07,42268.734,5697.140612932728,1677.972,34311.033,,,Mumbai,18.1176461486481,0.5386621733932073
2021-07-18,49145.350000000006,38478.266,4965.622421504704,4167.481,33952.071,,,Mumbai,15.382107466661221,0.4679861920461648
2021-07-19,43492.145,35523.729,6053.013656241228,22.439,33501.856,,,Mumbai,18.492301332907672,0.5628884680412423
2021-07-20,44861.26,35518.183,6246.185978119518,1141.56,33091.081,,,Mumbai,19.458057271322954,0.5856528423983391
2021-07-21,42527.558,34707.28,5968.820220222304,0.0,33208.298,,,Mumbai,18.136709282795163,0.5520641495349752
2021-07-22,43995.86,35777.953,6256.016496042366,0.0,33107.334,,,Mumbai,19.463648399426802,0.5866706587319881
2021-07-23,52076.73,37795.925,6258.2880087623835,6059.889,33282.394,,,Mumbai,19.548697883946836,0.5883349731847265
2021-07-24,61852.209,36927.213,5623.497634385272,17550.66,33188.115,,,Mumbai,17.769707908840193,0.5307814328711455
2021-07-25,42946.531,36304.861,4949.363690987031,164.198,33137.397,,,Mumbai,15.258137990784217,0.46611609875354476
2021-07-26,47957.6,37439.924,6283.72892138005,2259.343,33480.758,,,Mumbai,19.526413462408243,0.5903498403978539
2021-07-27,47842.33700000001,37185.779,6392.967357050148,2259.343,33655.692,,,Mumbai,20.029048906587015,0.6022016799740131
2021-07-28,44452.013,34909.731,6419.195166911418,1107.311,33165.695,,,Mumbai,20.151043409830773,0.6050437439429891
2021-07-29,74247.527,35642.226,6425.876725027612,30169.104,33028.927,,,Mumbai,20.204275978974138,0.6073502641794946
2021-07-30,46522.214,35553.926,6454.163876999093,2492.711,32753.657,,,Mumbai,20.37537361137747,0.6102626285165726
2021-07-31,44133.43,34993.999,5871.819716700936,1445.82,32391.385,,,Mumbai,18.612729437551096,0.5540852184082028
2021-08-01,45219.966,33023.438,4762.47912478601,5965.645,32195.396,,,Mumbai,14.31201991244561,0.4439607136938567
