date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25
2020-04-23,31397.749,24988.827,,1845.888,11069.084,,,Chennai,,
2020-04-24,31640.384,25156.298,,2059.496,11075.942,,,Chennai,,
2020-04-25,30570.364,24928.65,,2195.95,11040.713,,,Chennai,,
2020-04-26,28964.641,24530.322,,0.0,10936.259,,,Chennai,,
2020-04-27,31096.708,25468.876,,1100.089,10985.727,,,Chennai,,
2020-04-28,31941.86,25495.092,,1903.232,10980.056,,,Chennai,,
2020-04-29,31494.437,25369.78,,1521.006,10981.315,,,Chennai,,
2020-04-30,31557.206,24929.599,,2018.177,10942.309,,,Chennai,,
2020-05-01,27245.416,23230.389,,373.249,10892.131,,,Chennai,,
2020-05-02,26403.599,23436.328,,58.679,10910.977,,,Chennai,,
2020-05-03,29432.969,23167.377,,2174.617,10861.648,,,Chennai,,
2020-05-04,29998.296,23961.948,,1933.909,10937.72,,,Chennai,,
2020-05-05,29726.083999999995,23740.994,,1844.439,10863.934,,,Chennai,,
2020-05-06,29242.635,24052.323,,1105.574,10863.436,,,Chennai,,
2020-05-07,28889.678,24593.066,,185.427,10905.147,,,Chennai,,
2020-05-08,30332.732000000004,24629.686,,1695.072,10901.428,,,Chennai,,
2020-05-09,29824.924,24492.438,,2014.038,10862.352,,,Chennai,,
2020-05-10,28521.665,23497.601,,1595.063,10785.916,,,Chennai,,
2020-05-11,27277.304,23103.48,,701.203,10781.052,,,Chennai,,
2020-05-12,26838.741,23385.248,,4.964,10837.499,,,Chennai,,
2020-05-13,27985.59,23200.963,,1322.953,10827.74,,,Chennai,,
2020-05-14,28052.691,23002.877,,1642.19,10825.725,,,Chennai,,
2020-05-15,27946.138000000003,23160.097,,1497.56,10813.581,,,Chennai,,
2020-05-16,26252.703,22803.432,,636.658,10815.62,,,Chennai,,
2020-05-17,26641.437,22954.771,,0.0,10835.13,,,Chennai,,
2020-05-18,25181.011,21571.942,,0.0,10728.411,,,Chennai,,
2020-05-19,26262.82,22546.09,,132.355,10754.89,,,Chennai,,
2020-05-20,29201.128,23403.704,,2219.322,10757.819,,,Chennai,,
2020-05-21,27827.214,22514.533,,1651.692,10694.049,,,Chennai,,
2020-05-22,27638.462,22239.771,,1954.818,10670.752,,,Chennai,,
2020-05-23,25886.243,22824.322,,0.0,10740.579,,,Chennai,,
2020-05-24,26976.32,23244.034,,27.785,10808.784,,,Chennai,,
2020-05-25,27832.85,22121.658,,2079.068,10729.648,,,Chennai,,
2020-05-26,27592.764,22547.25,,1552.332,10807.462,,,Chennai,,
2020-05-27,28334.628,23138.228,,1701.744,10802.321,,,Chennai,,
2020-05-28,27313.244,23827.412,,0.0,10774.136,,,Chennai,,
2020-05-29,28830.473,23790.992,,1458.553,10743.232,,,Chennai,,
2020-05-30,28116.9,23226.698,,1798.271,10583.624,,,Chennai,,
2020-05-31,27738.375,22726.386,,1611.574,10590.447,,,Chennai,,
