index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Delhi_6891,"POLYGON ((77.24768254706748 28.475795951700064, 77.24768254706748 28.479744057153933, 77.24319097064689 28.479744057153933, 77.24319097064689 28.475795951700064, 77.24768254706748 28.475795951700064))",28.477770004427004,77.2454367588572,,,,710.074,,0.0,0.0,0.0,0.0,0.0,710.074,0.0
Delhi_6892,"POLYGON ((77.24768254706748 28.479744057153933, 77.24768254706748 28.48369201502466, 77.24319097064689 28.48369201502466, 77.24319097064689 28.479744057153933, 77.24768254706748 28.479744057153933))",28.4817180360893,77.24543675885718,,,,871.401,,0.0,0.0,0.0,0.0,0.0,871.401,0.0
Delhi_6893,"POLYGON ((77.24768254706748 28.48369201502466, 77.24768254706748 28.487639825299006, 77.24319097064689 28.487639825299006, 77.24319097064689 28.48369201502466, 77.24768254706748 28.48369201502466))",28.485665920161836,77.24543675885718,,,,1625.963,,0.0,0.0,1.136,0.0,0.0,1627.099,0.0
Delhi_6894,"POLYGON ((77.24768254706748 28.487639825299006, 77.24768254706748 28.49158748796374, 77.24319097064689 28.49158748796374, 77.24319097064689 28.487639825299006, 77.24768254706748 28.487639825299006))",28.489613656631374,77.2454367588572,,,,1625.963,,389.116,1396.44,52.943,0.079,0.0,2068.022,0.079
Delhi_6895,"POLYGON ((77.24768254706748 28.49158748796374, 77.24768254706748 28.495535003005656, 77.24319097064689 28.495535003005656, 77.24319097064689 28.49158748796374, 77.24768254706748 28.49158748796374))",28.4935612454847,77.2454367588572,,,,3476.616,,776.101,2785.218,158.82,0.295,0.0,4411.537,0.295
Delhi_6896,"POLYGON ((77.24768254706748 28.495535003005656, 77.24768254706748 28.499482370411524, 77.24319097064689 28.499482370411524, 77.24319097064689 28.495535003005656, 77.24768254706748 28.495535003005656))",28.497508686708596,77.24543675885718,,,,5000.824,,783.012,2763.082,284.539,0.474,0.0,6068.375,0.474
Delhi_6897,"POLYGON ((77.24768254706748 28.499482370411524, 77.24768254706748 28.503429590168135, 77.24319097064689 28.503429590168135, 77.24319097064689 28.499482370411524, 77.24768254706748 28.499482370411524))",28.50145598028983,77.24543675885718,,,,5216.892,,959.782,3386.856,284.539,0.474,0.0,6461.213,0.474
Delhi_6898,"POLYGON ((77.24768254706748 28.503429590168135, 77.24768254706748 28.50737666226228, 77.24319097064689 28.50737666226228, 77.24319097064689 28.503429590168135, 77.24768254706748 28.503429590168135))",28.505403126215203,77.24543675885718,,,,5211.646,,746.663,2594.932,299.026,0.504,0.0,6257.335,0.504
Delhi_6899,"POLYGON ((77.24768254706748 28.50737666226228, 77.24768254706748 28.511323586680753, 77.24319097064689 28.511323586680753, 77.24319097064689 28.50737666226228, 77.24768254706748 28.50737666226228))",28.509350124471514,77.2454367588572,,,,5565.657,,765.401,2660.032,134.577,0.233,0.0,6465.635,0.233
Delhi_6900,"POLYGON ((77.24768254706748 28.511323586680753, 77.24768254706748 28.515270363410348, 77.24319097064689 28.515270363410348, 77.24319097064689 28.511323586680753, 77.24768254706748 28.511323586680753))",28.513296975045552,77.24543675885718,,,,4502.239,,524.362,1798.741,62.709,0.118,0.0,5089.31,0.118
Delhi_6901,"POLYGON ((77.24768254706748 28.515270363410348, 77.24768254706748 28.519216992437865, 77.24319097064689 28.519216992437865, 77.24319097064689 28.515270363410348, 77.24768254706748 28.515270363410348))",28.517243677924103,77.24543675885718,,,,3637.538,,18.392,63.148,62.709,0.118,0.0,3718.639,0.118
Delhi_6902,"POLYGON ((77.24768254706748 28.519216992437865, 77.24768254706748 28.523163473750106, 77.24319097064689 28.523163473750106, 77.24319097064689 28.519216992437865, 77.24768254706748 28.519216992437865))",28.521190233093986,77.24543675885718,,,,3637.538,,40.969,140.529,114.269,0.231,0.0,3792.776,0.231
Delhi_6903,"POLYGON ((77.24768254706748 28.523163473750106, 77.24768254706748 28.527109807333872, 77.24319097064689 28.527109807333872, 77.24319097064689 28.523163473750106, 77.24768254706748 28.523163473750106))",28.525136640541987,77.2454367588572,,,,3877.748,,2.305,7.851,39.828,0.073,0.0,3919.881,0.073
Delhi_6904,"POLYGON ((77.24768254706748 28.527109807333872, 77.24768254706748 28.531055993175983, 77.24319097064689 28.531055993175983, 77.24319097064689 28.527109807333872, 77.24768254706748 28.527109807333872))",28.529082900254927,77.24543675885718,,,,4831.66,,931.697,3184.535,80.583,0.151,0.0,5843.94,0.151
Delhi_6905,"POLYGON ((77.24768254706748 28.531055993175983, 77.24768254706748 28.535002031263247, 77.24319097064689 28.535002031263247, 77.24319097064689 28.531055993175983, 77.24768254706748 28.531055993175983))",28.53302901221961,77.2454367588572,,,,5572.196,,808.313,2744.723,90.998,0.175,0.0,6471.507,0.175
Delhi_6906,"POLYGON ((77.24768254706748 28.535002031263247, 77.24768254706748 28.538947921582476, 77.24319097064689 28.538947921582476, 77.24319097064689 28.535002031263247, 77.24768254706748 28.535002031263247))",28.53697497642286,77.24543675885717,,,,5834.247,,731.973,2485.462,90.998,0.175,0.0,6657.218,0.175
Delhi_6907,"POLYGON ((77.24768254706748 28.538947921582476, 77.24768254706748 28.5428936641205, 77.24319097064689 28.5428936641205, 77.24319097064689 28.538947921582476, 77.24768254706748 28.538947921582476))",28.540920792851487,77.24543675885718,,,,6498.871,,838.423,2834.464,112.971,0.227,0.0,7450.265,0.227
Delhi_6908,"POLYGON ((77.24768254706748 28.5428936641205, 77.24768254706748 28.546839258864125, 77.24319097064689 28.546839258864125, 77.24319097064689 28.5428936641205, 77.24768254706748 28.5428936641205))",28.54486646149231,77.24543675885718,,,,6934.988,,515.598,1743.252,233.994,0.45,0.0,7684.58,0.45
