city,epsilon,method,rank_operational_utility,rank_CO2,rank_distance,rank_policy,composite_rank_score,final_rank,operational_utility_score_mean,CO2_reduction_pct_vs_shortest_mean,distance_penalty_pct_vs_shortest_mean,policy_violation_pct_mean
Delhi,0.15,AStar_EcoRouting,6.0,7.0,6.0,6.0,6.15,6.0,-1.3825964925614005,59.314589675572364,15.586572179621452,5.824393058304038
Delhi,0.15,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,36.62884696840959,35.727601325449484,4.701144747302567,0.0
Delhi,0.15,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-402.16189130873516,69.45481660568967,60.05482551359397,46.23456738998168
Delhi,0.15,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-71.69609974899613,63.968537011572224,24.995134139399134,12.982494639600556
Delhi,0.15,MultiAgent_NoNegotiation,3.0,9.0,4.0,4.0,4.2,3.0,15.89041573973692,57.32338894509036,13.171738978509422,3.9421132166081985
Delhi,0.15,PredictiveDT_Routing,7.0,6.0,7.0,7.0,6.8500000000000005,7.0,-16.96312193068673,61.126979816306566,17.954100571641387,7.450896376208532
Delhi,0.15,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-71.69609974899613,63.968537011572224,24.995134139399134,12.982494639600556
Delhi,0.15,ShortestPath,5.0,12.0,1.0,1.0,4.85,4.0,0.0,0.0,0.0,0.0
Delhi,0.15,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-105.17471573594472,64.7425668181542,28.510614407651943,16.40962542063595
Delhi,0.15,StaticDT_Routing,2.0,10.0,3.0,3.0,3.5,2.0,34.39683864689358,54.562923575383984,10.245793363149824,1.9330481465143665
Delhi,0.15,Weighted_EcoRouting,4.0,8.0,5.0,5.0,4.9,5.0,10.967852169819693,57.95467930952669,13.722029324693635,4.526765055898909
Delhi,0.15,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-71.69609974899613,63.968537011572224,24.995134139399134,12.982494639600556
Delhi,0.2,AStar_EcoRouting,5.0,7.0,6.0,6.0,5.6,5.0,13.355064337195778,59.257733552663595,15.53405768420805,3.9862651827860964
Delhi,0.2,CARA_Full,2.0,11.0,2.0,1.0,3.1500000000000004,2.0,42.6243146009917,44.60797768448282,7.303095100082371,0.0
Delhi,0.2,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-365.1218711060041,69.77213351085167,59.63716110917728,41.75319906712687
Delhi,0.2,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-46.76490800891566,63.82386373347481,24.509224122426353,9.961032038238772
Delhi,0.2,MultiAgent_NoNegotiation,3.0,9.0,4.0,4.0,4.2,3.0,29.600272177322175,57.26761528500397,12.953659362086203,2.2708661105188144
Delhi,0.2,PredictiveDT_Routing,6.0,6.0,7.0,7.0,6.3,7.0,1.2712062880417176,61.12437350519427,17.94670744590426,5.173365421912044
Delhi,0.2,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-46.76490800891566,63.82386373347481,24.509224122426353,9.961032038238772
Delhi,0.2,ShortestPath,7.0,12.0,1.0,1.0,5.95,6.0,0.0,0.0,0.0,0.0
Delhi,0.2,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-84.27377347898144,64.71819358239514,28.60671612383386,13.766162830809316
Delhi,0.2,StaticDT_Routing,1.0,10.0,3.0,3.0,2.95,1.0,43.525286456945516,54.792749696776625,10.18211048560998,0.8322578669659528
Delhi,0.2,Weighted_EcoRouting,4.0,8.0,5.0,5.0,4.9,4.0,22.51836808559868,58.082756601240746,13.819334193101808,3.0787291784470603
Delhi,0.2,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-46.76490800891566,63.82386373347481,24.509224122426353,9.961032038238772
Mumbai,0.05,AStar_EcoRouting,5.0,9.0,5.0,5.0,5.6,5.0,-29.065662923281103,48.393060602192136,12.68626962846428,8.518806372929767
