city,epsilon,od_id,candidate_routes,chosen_candidate_rank,consensus_utility,agent_disagreement,consensus_stability,cara_route_utility,policy_score,generation_time_seconds,negotiation_time_seconds,total_decision_time_seconds
Delhi,0.05,97,29,0,0.46617907899629807,0.4914591741974024,0.5085408258025976,0.42686234506050585,1.0,6.131934099998034,0.003824500003247522,6.135758600001282
Delhi,0.05,98,28,0,0.45914178374235537,0.5087174257756277,0.49128257422437227,0.4184443896803052,1.0,26.122050499994657,0.0037937000015517697,26.12584419999621
Delhi,0.05,99,29,0,0.4500205751903367,0.5163598456766341,0.48364015432336593,0.408711787536206,1.0,11.641448300004413,0.003806000000622589,11.645254300005035
Delhi,0.1,0,29,28,0.8902517747802519,0.19190416202211882,0.8080958379778812,0.8748994418184823,1.0,7.839099400000123,0.003973200000473298,7.843072600000596
Delhi,0.1,1,30,0,0.49140769593460765,0.4801194209484663,0.5198805790515337,0.45299814225873036,1.0,31.43645749999996,0.003820799996901769,31.440278299996862
Delhi,0.1,2,27,26,0.9428477306539984,0.06499833689598347,0.9350016631040166,0.9376478637023198,1.0,0.09585529999458231,0.0034570999996503815,0.09931239999423269
Delhi,0.1,3,29,28,0.8831917645279189,0.10107877860825176,0.8989212213917482,0.8751054622392588,1.0,2.370096200000262,0.004391000002215151,2.374487200002477
Delhi,0.1,4,29,26,0.863709194657792,0.3234692715198813,0.6765307284801187,0.8378316529362014,1.0,9.812732600003073,0.002109499997459352,9.814842100000533
Delhi,0.1,5,30,0,0.4533458705020188,0.5137999045111388,0.48620009548886123,0.41224187814112767,1.0,10.642228599994269,0.002221599999757018,10.644450199994026
Delhi,0.1,6,29,26,0.8668216088889076,0.12669767112218636,0.8733023288778137,0.8566857951991327,1.0,2.1003203000000212,0.002067299996269867,2.102387599996291
Delhi,0.1,7,29,26,0.8051715005695635,0.19301231435499158,0.8069876856450084,0.7897305154211642,1.0,27.00720259999798,0.002108399996359367,27.00931099999434
Delhi,0.1,8,30,29,0.8069153650718526,0.16994705700187882,0.8300529429981212,0.7933196005117022,1.0,7.641246799998044,0.002168400002119597,7.643415200000163
