city,epsilon,od_id,method,distance_km,actual_CO2_cost,hotspot_cost,pollutant_cost,top10_hotspot_cells,nodes,CO2_reduction_pct_vs_shortest,distance_penalty_pct_vs_shortest,hotspot_reduction_pct_vs_shortest,top10_reduction_pct_vs_shortest,policy_violation_pct,operational_utility_score,runtime_seconds
Delhi,0.05,3,CARA_without_HotspotAgent,15.823811307595154,101.75897374106518,5.751907829534192,10.57717727948464,0,33,56.80238874502061,2.3495912625871758,26.780615773043788,,0.0,65.49351410636815,0.0
Delhi,0.05,3,CARA_without_PollutantAgent,15.823811307595154,101.75897374106518,5.751907829534192,10.57717727948464,0,33,56.80238874502061,2.3495912625871758,26.780615773043788,,0.0,65.49351410636815,0.0
Delhi,0.05,3,CARA_without_PolicyAgent,15.823811307595154,101.75897374106518,5.751907829534192,10.57717727948464,0,33,56.80238874502061,2.3495912625871758,26.780615773043788,,0.0,65.49351410636815,0.0
Delhi,0.05,3,CARA_without_NegotiationAgent,15.823811307595154,101.75897374106518,5.751907829534192,10.57717727948464,0,33,56.80238874502061,2.3495912625871758,26.780615773043788,,0.0,65.49351410636815,0.0
Delhi,0.05,3,SingleAgent_Routing,17.530670654624494,74.45091552479349,5.234471010901882,10.761323092170468,0,34,68.39490820140345,13.389684772001573,33.36737035246845,,8.389684772001573,-8.818254342378054,0.0
Delhi,0.05,3,StaticDT_Routing,15.823811307595154,101.75897374106518,5.751907829534192,10.57717727948464,0,33,56.80238874502061,2.3495912625871758,26.780615773043788,,0.0,65.49351410636815,0.0
Delhi,0.05,4,CARA_Full,32.31437663276705,3500.74116675938,23.360796580773034,25.830633671952455,5,58,38.524127741488726,4.891129980732559,23.428715640178023,16.666666666666664,0.0,40.456225600112624,0.0
Delhi,0.05,4,CARA_without_PredictionAgent,32.31437663276705,3500.74116675938,23.360796580773034,25.830633671952455,5,58,38.524127741488726,4.891129980732559,23.428715640178023,16.666666666666664,0.0,40.456225600112624,0.0
Delhi,0.05,4,CARA_without_HotspotAgent,32.31437663276705,3500.74116675938,23.360796580773034,25.830633671952455,5,58,38.524127741488726,4.891129980732559,23.428715640178023,16.666666666666664,0.0,40.456225600112624,0.0
Delhi,0.05,4,CARA_without_PollutantAgent,32.31437663276705,3500.74116675938,23.360796580773034,25.830633671952455,5,58,38.524127741488726,4.891129980732559,23.428715640178023,16.666666666666664,0.0,40.456225600112624,0.0
